change_metric_(cause),target_value_change_(consequence),support,confidence,uplift
"[""dam: ('(0.365, 1.005)', '(-0.005, 0.10500000000000001)')""]","bug: ('1', '0')",0.5882352941176471,0.3777777777777778,0.020376778162245292
"[""cam: ('(0.395, 0.445)', '(0.485, 0.655)')""]","bug: ('1', '0')",0.5882352941176471,0.3867872807017544,0.02415387110726644
"[""dit: ('(0.285, 0.425)', '(0.415, 0.715)')""]","bug: ('1', '0')",0.5882352941176471,0.6203585147247119,0.07069833280905945
"[""ic: ('(0.165, 0.425)', '(0.575, 0.835)')""]","bug: ('1', '0')",0.5882352941176471,0.7117224880382775,0.05254052085230376
"[""amc: ('(0.105, 0.265)', '(0.015, 0.115)')"", ""mfa: ('(-0.005, 0.855)', '(0.895, 0.945)')""]","bug: ('1', '0')",0.5882352941176471,0.5789036544850498,0.05065583004747727
"[""lcom3: ('(-0.005, 0.295)', '(0.875, 1.005)')"", ""dam: ('(0.365, 1.005)', '(-0.005, 0.10500000000000001)')""]","bug: ('1', '0')",0.5709342560553633,0.35566356720202874,0.017548195748887788
"[""lcom3: ('(-0.005, 0.295)', '(0.475, 0.885)')""]","bug: ('1', '0')",0.5709342560553633,0.5100250626566416,0.0453534354918438
"[""dam: ('(-0.005, 0.10500000000000001)', '(0.365, 1.005)')""]","bug: ('1', '0')",0.5709342560553633,0.36,0.01903114186851211
"[""mfa: ('(-0.005, 0.855)', '(0.895, 0.945)')"", ""cam: ('(-0.005, 0.34500000000000003)', '(0.335, 0.405)')""]","bug: ('1', '0')",0.5709342560553633,0.46370023419203743,0.03966880869995057
"[""mfa: ('(-0.005, 0.855)', '(0.895, 0.945)')"", ""cam: ('(-0.005, 0.34500000000000003)', '(0.335, 0.405)')""]","bug: ('1', '0')",0.5709342560553633,0.46370023419203743,0.03966880869995057
"[""ce: ('(0.035, 0.155)', '(-0.005, 0.015)')"", ""lcom: ('(-0.005, 1.005)', '(-0.005, 0.005)')"", ""dit: ('(0.285, 0.425)', '(-0.005, 0.125)')""]","bug: ('1', '0')",0.5536332179930796,0.5714285714285714,0.03225407810182897
"[""mfa: ('(-0.005, 0.855)', '(0.895, 0.945)')"", ""ce: ('(0.005, 0.045)', '(0.035, 0.155)')"", ""dit: ('(-0.005, 0.125)', '(0.11499999999999999, 0.295)')""]","bug: ('1', '0')",0.5536332179930796,0.4622607439508848,0.04715641912873747
"[""dit: ('(0.285, 0.425)', '(0.11499999999999999, 0.295)')""]","bug: ('1', '0')",0.5536332179930796,0.46504320502749413,0.025925734648556527
"[""lcom: ('(-0.005, 1.005)', '(-0.005, 0.005)')""]","bug: ('1', '0')",0.5536332179930796,0.39762706429373096,0.024625893138003868
"[""lcom3: ('(0.875, 1.005)', '(0.475, 0.885)')""]","bug: ('1', '0')",0.5536332179930796,0.6284237726098191,0.04379084967320261
